รหัสสถานี,ชื่อสถานี,รายละเอียดจุดติดตั้งสถานี,จังหวัด,english_name,adm1__id
104T,ต.บางมัญ อ.เมือง จ.สิงห์บุรี,โรงเรียนสิงห์บุรี,จ.สิงห์บุรี,Sing Buri,63
46T,ต.ในเมือง อ.เมือง จ.ขอนแก่น,ส่วนอุทกวิทยา สำนักงานทรัพยากรน้ำภาค ๔ ขอนแก่น,จ.ขอนแก่น,Khon Kaen,17
47T,ต.ในเมือง อ.เมือง จ.นครราชสีมา,สถานีสูบน้ำเสียที่ ๑ ห้าแยกไอที นครราชสีมา,จ.นครราชสีมา,Nakhon Ratchasima,29
72T,ต.กุดป่อง อ.เมือง จ.เลย,สวนสาธารณะเฉลิมพระเกียรติ 60 พรรษา มหาราชินี,จ.เลย,Loei,21
82T,ต.มีชัย อ.เมือง จ.หนองคาย,สวนสาธารณะหนองถิ่น,จ.หนองคาย,Nong Khai,35
83T,ต.ในเมือง อ.เมือง จ.อุบลราชธานี,ศูนย์แสดงและจำหน่ายสินค้า OTOP จังหวัดอุบลราชธานี,จ.อุบลราชธานี,Ubon Ratchathani,72
88T,ต.ในเมือง อ.เมือง จ.นครพนม,สถานีอุตุนิยมวิทยานครพนม,จ.นครพนม,Nakhon Phanom,28
90T,ต.ธาตุนาเวง อ.เมือง จ.สกลนคร,สถานีอุตุนิยมวิทยาสกลนคร,จ.สกลนคร,Sakon Nakhon,56
91T,ต.หมากแข้ง อ.เมือง จ.อุดรธานี,บริเวณสวนสาธารณะหนองประจักษ์,จ.อุดรธานี,Udon Thani,73
101T,ต.เสม็ด อ.เมือง  จ.บุรีรัมย์,ศาลากลางจังหวัดบุรีรัมย์,จ.บุรีรัมย์,Buri Ram,5
102T,ต.มุกดาหาร อ.เมืองมุกดาหาร จ.มุกดาหาร,สนามกีฬากลางจังหวัดมุกดาหาร,จ.มุกดาหาร,Mukdahan,25
106T,ต.บึงกาฬ อ.เมือง จ.บึงกาฬ,สวนสาธารณะหนองบึงกาฬ,จ.บึงกาฬ,Bueng Kan,4
107T,ต.กาฬสินธุ์ อ.เมือง จ.กาฬสินธุ์,สวนสาธารณะดอนกลาง,จ.กาฬสินธุ์,Kalasin,14
108T,ต.ในเมือง อ.เมือง จ.ชัยภูมิ,สนามกีฬาเทศบาลเมืองชัยภูมิ,จ.ชัยภูมิ,Chaiyaphum,8
109T,ต.ในเมือง อ.เมือง จ.ยโสธร,สวนสาธารณะพญาแถน,จ.ยโสธร,Yasothon,77
110T,ต.บุ่ง อ.เมือง จ.อำนาจเจริญ,สำนักงานเทศบาลเมืองอำนาจเจริญ,จ.อำนาจเจริญ,Amnat Charoen,1
111T,ต.นอกเมือง อ.เมือง จ.สุรินทร์,สถานีอุตุนิยมวิทยาสุรินทร์,จ.สุรินทร์,Surin,68
112T,ต.หนองครก อ.เมือง จ.ศรีสะเกษ,สถานีอุตุนิยมวิทยาศรีสะเกษ,จ.ศรีสะเกษ,Si Sa Ket,62
28T,ต.ปลวกแดง อ.ปลวกแดง จ.ระยอง,สำนักงานสาธารณสุขอำเภอปลวกแดง,จ.ระยอง,Rayong,53
29T,ต.มาบตาพุด อ.เมือง จ.ระยอง,โรงพยาบาลส่งเสริมสุขภาพตำบลมาบตาพุด,จ.ระยอง,Rayong,53
30T,ต.ท่าประดู่ อ.เมือง จ.ระยอง,สำนักงานเกษตรจังหวัดระยอง,จ.ระยอง,Rayong,53
31T,ต.ห้วยโป่ง อ.เมือง จ.ระยอง,ศูนย์วิจัยพืชไร่ระยอง,จ.ระยอง,Rayong,53
74T,ต.เนินพระ อ.เมือง จ.ระยอง,ศูนย์ราชการจังหวัดระยอง,จ.ระยอง,Rayong,53
32T,ต.ทุ่งสุขลา อ.ศรีราชา จ.ชลบุรี,สนามกีฬาเทศบาลแหลมฉบัง,จ.ชลบุรี,Chon Buri,12
33T,ต.บ่อวิน อ.ศรีราชา จ.ชลบุรี,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขาหิน,จ.ชลบุรี,Chon Buri,12
